Similarity,MinPts,Epsilon,Cluster,Noise,Silhouette
jaccard,2,0.2,141,6891,-0.060825606185580104
jaccard,2,0.3,160,6848,-0.0649983448256192
jaccard,2,0.4,212,6662,-0.0667195683554878
jaccard,2,0.5,195,6052,-0.10201291914526855
jaccard,2,0.6,268,5522,-0.09958075763969326
jaccard,2,0.7,337,3505,-0.0889723016523065
jaccard,2,0.8,21,312,-0.04190482697932609
jaccard,2,0.9,1,17,0.027030896815049242
jaccard,3,0.2,45,7083,-0.028997232576232896
jaccard,3,0.3,50,7068,-0.04221999385290968
jaccard,3,0.4,53,6980,-0.03904129743577542
jaccard,3,0.5,45,6352,-0.05846844747174603
jaccard,3,0.6,72,5914,-0.07450032101072394
jaccard,3,0.7,107,3965,-0.08110860583421496
jaccard,3,0.8,5,344,-0.0077198637025015495
jaccard,3,0.9,1,17,0.027030896815049242
jaccard,5,0.2,13,7193,-0.012724481192349727
jaccard,5,0.3,13,7193,-0.012724481192349727
jaccard,5,0.4,18,7105,-0.021448835082354772
jaccard,5,0.5,11,6544,0.009935859779328725
jaccard,5,0.6,18,6238,-0.03833729820162428
jaccard,5,0.7,46,4633,-0.06801262548307754
jaccard,5,0.8,2,413,0.0020332346612095447
jaccard,5,0.9,1,17,0.027030896815049242
jaccard,10,0.2,3,7259,0.01467994933534998
jaccard,10,0.3,3,7259,0.01467994933534998
jaccard,10,0.4,6,7225,-0.009986048648210469
jaccard,10,0.5,4,6719,0.01260358948907176
jaccard,10,0.6,4,6551,0.0117544522808278
jaccard,10,0.7,8,5433,-0.04145503156035633
jaccard,10,0.8,1,579,0.00920173075353588
jaccard,10,0.9,1,17,0.027030896815049242
jaccard,30,0.2,1,7292,0.027332599776414
jaccard,30,0.3,1,7292,0.027332599776414
jaccard,30,0.4,1,7292,0.027332599776414
jaccard,30,0.5,2,7088,0.008195514536388714
jaccard,30,0.6,3,6944,0.0021085581664492857
jaccard,30,0.7,1,6198,0.016918246531599075
jaccard,30,0.8,1,1365,0.00920745359830058
jaccard,30,0.9,1,21,0.027039501459053674
dice,2,0.2,188,6737,-0.1448000842322315
dice,2,0.3,228,6615,-0.15495420583480654
dice,2,0.4,237,5853,-0.18850894929903414
dice,2,0.5,323,4304,-0.17390516305384407
dice,2,0.6,118,1547,-0.14584456575834864
dice,2,0.7,7,127,-2.114045201584206e-06
dice,2,0.8,1,20,0.04980798460994356
dice,2,0.9,1,11,0.049775313921213246
dice,3,0.2,56,7001,-0.10293000536347763
dice,3,0.3,57,6957,-0.09940026194811469
dice,3,0.4,62,6203,-0.12540511544627203
dice,3,0.5,85,4780,-0.14901858350209096
dice,3,0.6,23,1737,-0.09665387205181102
dice,3,0.7,3,135,0.030320669558727677
dice,3,0.8,1,20,0.04980798460994356
dice,3,0.9,1,11,0.049775313921213246
dice,5,0.2,17,7135,-0.05126432141329786
dice,5,0.3,18,7099,-0.05460168608677413
dice,5,0.4,13,6470,-0.015714382331494407
dice,5,0.5,21,5228,-0.10703716225034575
dice,5,0.6,10,2080,-0.06797556751590138
dice,5,0.7,1,165,0.030660482214072783
dice,5,0.8,1,20,0.04980798460994356
dice,5,0.9,1,11,0.049775313921213246
dice,10,0.2,5,7236,-0.00012445558188683512
dice,10,0.3,7,7216,-0.04691410274424301
dice,10,0.4,4,6682,0.018285143338170294
dice,10,0.5,3,5760,-0.016538347294267102
dice,10,0.6,10,2874,-0.06366060895584562
dice,10,0.7,1,235,0.030675867101845965
dice,10,0.8,1,20,0.04980798460994356
dice,10,0.9,1,11,0.049775313921213246
dice,30,0.2,1,7292,0.038823207097299944
dice,30,0.3,1,7292,0.038823207097299944
dice,30,0.4,2,7078,0.008152123961296767
dice,30,0.5,1,6282,0.029640906539232865
dice,30,0.6,2,4758,-0.009778846336107082
dice,30,0.7,1,595,0.029692485632640132
dice,30,0.8,1,22,0.04981511861670983
dice,30,0.9,1,11,0.049775313921213246
