Similarity,MinPts,Epsilon,Cluster,Noise,Silhouette
jaccard,2,0.3,265,6254,-0.1183526276845228
jaccard,2,0.4,293,5677,-0.14396314679069858
jaccard,2,0.5,314,4635,-0.14684772531681586
jaccard,2,0.6,223,2137,-0.13575466869035016
jaccard,2,0.7,64,398,-0.033121217452003984
jaccard,2,0.8,28,119,0.053461868325851716
jaccard,2,0.9,6,80,0.054643003014559655
jaccard,3,0.3,102,6580,-0.0905527490383225
jaccard,3,0.4,110,6043,-0.12459668642229813
jaccard,3,0.5,115,5033,-0.12834628238190357
jaccard,3,0.6,74,2435,-0.09903632107555806
jaccard,3,0.7,24,478,0.0236075160249577
jaccard,3,0.8,12,151,0.053272577928939184
jaccard,3,0.9,2,88,0.05415371648452049
jaccard,5,0.3,39,6804,-0.08406708041999299
jaccard,5,0.4,36,6341,-0.060719182038387456
jaccard,5,0.5,43,5452,-0.11133469014810447
jaccard,5,0.6,26,2862,-0.07790983068076997
jaccard,5,0.7,13,584,0.040299947690762526
jaccard,5,0.8,2,206,0.05484293970201924
jaccard,5,0.9,1,96,0.05369183099466016
jaccard,10,0.3,17,6961,-0.06929116032135171
jaccard,10,0.4,15,6588,-0.018803568590937285
jaccard,10,0.5,17,5808,-0.062001559215715776
jaccard,10,0.6,8,3561,-0.055538451514083174
jaccard,10,0.7,1,836,0.04458187885444087
jaccard,10,0.8,1,267,0.05444176163937489
jaccard,10,0.9,1,101,0.053723913550313314
jaccard,30,0.3,2,7217,0.02402432211150548
jaccard,30,0.4,5,7017,-0.001313255467455655
jaccard,30,0.5,3,6422,0.014660769226888323
jaccard,30,0.6,1,4588,0.015426583450034132
jaccard,30,0.7,1,1433,0.04469935072999286
jaccard,30,0.8,1,370,0.054944257429755956
jaccard,30,0.9,1,114,0.05380783160449659
dice,2,0.3,300,5178,-0.25153722996830824
dice,2,0.4,279,2938,-0.24418879918186392
dice,2,0.5,90,743,-0.13772811260153367
dice,2,0.6,42,189,0.0784970900515524
dice,2,0.7,22,107,0.0922484492938638
dice,2,0.8,12,80,0.09288831821710877
dice,2,0.9,4,51,0.09351819957840656
dice,3,0.3,109,5560,-0.21635471473117548
dice,3,0.4,99,3298,-0.21046222084528265
dice,3,0.5,34,855,-0.05689913766631384
dice,3,0.6,19,235,0.08120922755644175
dice,3,0.7,8,135,0.09332643292248034
dice,3,0.8,3,98,0.09356570315015067
dice,3,0.9,2,55,0.09309196677029152
dice,5,0.3,34,5909,-0.18006901390276017
dice,5,0.4,33,3821,-0.15622623253461587
dice,5,0.5,11,1068,0.04580103867661396
dice,5,0.6,7,296,0.08464810746643349
dice,5,0.7,2,176,0.09438217520894931
dice,5,0.8,1,108,0.09314014069551259
dice,5,0.9,1,60,0.09265052686763951
dice,10,0.3,15,6167,-0.025387386271199276
dice,10,0.4,8,4492,-0.04776272153320509
dice,10,0.5,4,1441,0.04703475809608034
dice,10,0.6,1,430,0.09228272763615546
dice,10,0.7,1,225,0.09416513604236486
dice,10,0.8,1,116,0.09323715712525499
dice,10,0.9,1,63,0.09268382233348627
dice,30,0.3,5,6736,-0.009220799358102579
dice,30,0.4,1,5418,0.028870772896257727
dice,30,0.5,1,2237,0.0571162820788438
dice,30,0.6,1,682,0.09194239870164325
dice,30,0.7,1,305,0.09489782519896738
dice,30,0.8,1,131,0.09340681143784557
dice,30,0.9,1,66,0.09271849503335353
